subj,order,list,item,condition,sentence,question,correct_answer,response
999,263,4,38,SemCrit,One window on the dilapidated house was missing a shudder.,NA,NA,4,0.710302900057286
999,264,4,94,Sem,The goddess refused to be bested by a mere expectation.,NA,NA,4,0.5023710000095889
999,265,4,230,Filler,Despite their creative freedoms, film directors ultimately answer to producers.,NA,NA,4,0.4551056999480352
999,266,4,2,SemCrit,The woman brought her sick pet dog to a veteran.,NA,NA,4,0.16924630000721663
999,267,4,34,SemCrit,The bleach is too concentrated and requires a 1-in-5 dilation.,NA,NA,4,0.5825383000774309
999,268,4,147,Filler,The furniture designer aspired to make objects beautiful and functional.,NA,NA,4,0.6145519999554381
999,269,4,154,Control,She scolded the child for running backwards up an escalator.,NA,NA,4,0.4845506999408826
999,270,4,20,SemCrit,The teacher interrupted his sentence to make a grammatical collection.,NA,NA,4,0.9564758000196889
999,271,4,112,Filler,You should never drive a car while under the influence.,NA,NA,4,0.3611272999551147
999,272,4,136,Filler,The insensitive paparazzi turned the singer's suffering into a spectacle.,NA,NA,4,0.7914199000224471
999,273,4,6,Filler,The bird warbled a cheerful tune ending in a trill.,NA,NA,4,0.7246377000119537
999,274,4,89,Sem,Candidates must be citizens, but that is the only altitude.,NA,NA,4,0.5998861999250948
999,275,4,17,SemCrit,After my root canal the dentist prescribed a pain meditation.,NA,NA,4,0.5237422999925911
999,276,4,52,Synt,The artist achieved eternal fame despite not seeking this immortalities.,NA,NA,4,0.6374937000218779
999,277,4,82,Filler,The soldier had been a waitress before she was recruited.,NA,NA,4,0.6262159999459982
999,278,4,187,Filler,He could never get enough sleep because of his insomnia.,NA,NA,4,0.5556753999553621
999,279,4,124,Filler,The teacher asked the children's parents to volunteer as chaperones.,NA,NA,4,0.5599343000212684
999,280,4,45,Filler,Alcatraz Island was famous for housing a high security penitentiary.,NA,NA,4,0.5126871999818832
999,281,4,263,Filler,Both political parties accused each other of obstruction and partisanship.,NA,NA,4,0.3293800000101328
999,282,4,68,Filler,The most popular casino card games are poker and blackjack.,NA,NA,4,0.4332338999956846
999,283,4,32,Filler,While evacuating, she lost her phone in all the commotion.,NA,NA,4,0.40966050000861287
999,284,4,58,Synt,It's alive! he cackled as he animated this monster Frankensteins.,NA,NA,4,36.7034184000222
999,285,4,40,Filler,Their refusal to hire a black waitress was blatant racism.,NA,NA,4,0.39469690003897995
999,286,4,222,Filler,The villain's struggling captive inadvertently triggered the final launch countdown.,NA,NA,4,0.33616019994951785
999,287,4,36,SemCrit,The vicious cyclone tragically caused many deaths and much distraction.,NA,NA,4,0.7772210000548512
999,288,4,232,Filler,She unfortunately could not attend because she had previous engagements.,NA,NA,4,0.25536210008431226
999,289,4,274,Filler,The atomic bomb's explosion contaminated the area with dangerous radioactivity.,NA,NA,4,0.46876269998028874
999,290,4,61,Filler,The groom joyfully carried his young bride over the threshold.,NA,NA,4,0.6905585000058636
999,291,4,200,Filler,Overwhelmed by the sudden onslaught, the soldiers called for reinforcements.,NA,NA,4,0.720229500089772
999,292,4,23,SemCrit,The zoo had two giraffes, an elephant, and a rhinestone.,NA,NA,4,0.9195778999710456
999,293,4,157,Control,Considering my previous experiences, I had a rather low expectation.,NA,NA,4,0.447985399980098
999,294,4,196,Filler,The party was a complete failure, despite all the preparations.,NA,NA,4,0.5065828000660986
999,295,4,240,Filler,She knew the deadline was approaching, but was still procrastinating.,NA,NA,4,0.41686130000744015
999,296,4,23,GoodExp,The reality show censored out the contestants' nudity and profanity.,NA,NA,4,0.5891078000422567
999,297,4,132,Control,The devout Christian girl travelled to India as a missionary.,NA,NA,4,0.6994083999888971
999,298,4,75,Synt,You cannot buy Cuban cigars because there is an embargos.,NA,NA,4,0.5026480000233278
999,299,4,51,Filler,The woman was stubborn and refused to lose an argument.,NA,NA,4,0.5902330999961123
999,300,4,119,Filler,Stradivari is renowned worldwide for making the most incredible violins.,NA,NA,4,0.714879900100641
999,301,4,143,Filler,A paper airplane flew across the classroom into the trashcan.,NA,NA,4,0.5750716000329703
999,302,4,144,Filler,She worked at the nearby grocery store as a cashier.,NA,NA,4,0.5104098001029342
999,303,4,33,GoodExp,I was pleased to find my hosts were very welcoming.,NA,NA,4,0.4330543000251055
999,304,4,109,Sem,The princess arrived at the ball in a horse-drawn thermal.,NA,NA,4,0.15408190002199262
999,305,4,195,Filler,This restaurant is popular, but I think it is overrated.,NA,NA,4,0.6065554999513552
999,306,4,31,SemCrit,The student went to medical school to become a physicist.,NA,NA,4,0.5614400000777096
999,307,4,161,Filler,The guests dipped strawberries and bananas into the chocolate fondue.,NA,NA,4,0.4754867000738159
999,308,4,39,SemCrit,Rupert Murdoch is the owner of a vast media umpire.,NA,NA,4,0.42760419996920973
999,309,4,47,Synt,The heat felt even worse because of all this humidities.,NA,NA,4,0.5710972000379115
999,310,4,244,Filler,Years after the murder, the case remains shrouded in mystery.,NA,NA,4,1.15229520003777
999,311,4,14,Filler,A terrifying three-headed dog guarded the entrance to the underworld.,NA,NA,4,0.4278722000308335
999,312,4,22,SemCrit,Harvesting crops is often the job of a seasonal migraine.,NA,NA,4,0.49723009997978806
999,313,4,73,Synt,The student had his editorial published in a local gazettes.,NA,NA,4,0.4996835000347346
999,314,4,35,SemCrit,The whining alarm shut off, finally silencing this annoying destruction.,NA,NA,4,4.392124900012277
999,315,4,86,Sem,The child made a caterpillar from an old egg campaign.,NA,NA,4,0.473033299902454
999,316,4,245,Filler,Pickpockets and scam artists can easily swindle a naïve traveler.,NA,NA,4,23.03432899992913
999,317,4,256,Filler,As the child stargazed, he dreamed of becoming an astronaut.,NA,NA,4,0.5359136000042781
999,318,4,20,Filler,You should write all your appointments down in your calendar.,NA,NA,4,0.4147388000274077
999,319,4,66,Filler,FDR delivered many "fireside chats," which were informal radio broadcasts.,NA,NA,4,0.4826384000480175
999,320,4,179,Filler,The film accentuated the awkward silence with a chirping cricket.,NA,NA,4,0.4717646000208333
999,321,4,159,Filler,The girl was heartbroken and distraught after her first breakup.,NA,NA,4,0.4906926000257954
999,322,4,88,Sem,Cats were the only company for this lonely old radium.,NA,NA,4,0.7126127999508753
999,323,4,76,Filler,When taking medication, always be careful to follow the prescription.,NA,NA,4,0.48254460003226995
999,324,4,138,Filler,The defiant young woman refused to become just another statistic.,NA,NA,4,0.3145315999863669
999,325,4,262,Filler,The shopper tried on the new outfit and was pleased.,NA,NA,4,0.6426375000737607
999,326,4,19,SemCrit,Her grandmother's pennies inspired her to start a coin correction.,NA,NA,4,0.6213481000158936
999,327,4,265,Filler,Nobody understood the talk because the topic was too obscure.,NA,NA,4,0.5942719000158831
999,328,4,241,Filler,When the dog heard the dinner bell, it started drooling.,NA,NA,4,0.7448822999140248
999,329,4,29,SemCrit,The moth attracted a mate by releasing a potent pharaoh.,NA,NA,4,0.5070645000087097
999,330,4,43,Synt,The study of sounds in language is known as phonologies.,NA,NA,4,0.3262343000387773
999,331,4,156,Control,To protect herself from the sun, she carried a parasol.,NA,NA,4,0.6754942999687046
999,332,4,121,Control,The celebrating couple joyfully popped open a bottle of champagne.,NA,NA,4,0.5105977000202984
999,333,4,105,Filler,The air smelled of pine and the birds were chirping.,NA,NA,4,0.4489843000192195
999,334,4,250,Filler,College students often must spend much money on their textbooks.,NA,NA,4,0.38658110005781054
999,335,4,53,Synt,After the Holocaust, German history could never escape this infamies.,NA,NA,4,0.3520751999458298
999,336,4,48,Filler,The security alarm went off when it detected the intruder.,NA,NA,4,0.6200836999341846
999,337,4,37,Filler,The thoroughbred racing horse was ridden by an experienced jockey.,NA,NA,4,0.7491196000482887
999,338,4,34,GoodExp,The self-absorbed man considered himself a profound thinker and philosopher.,NA,NA,4,71.50071250007022
999,339,4,39,GoodExp,This mission is critical, and completing it successfully is imperative.,NA,NA,4,0.5933728000381961
999,340,4,135,Filler,Core exercises like crunches and planks can strengthen the abdomen.,NA,NA,4,0.3634360999567434
999,341,4,259,Filler,Maintaining a healthy weight requires a good diet and exercise.,NA,NA,4,0.27889329998288304
999,342,4,36,GoodExp,The shy and awkward boy was shunned by his classmates.,NA,NA,4,0.5488533999305218
999,343,4,2,GoodExp,Whenever he reminisces about his beloved he starts waxing poetic.,NA,NA,4,0.4951040999731049
999,344,4,74,Filler,Of the politicians present, the governor was the most prominent.,NA,NA,4,0.4489113000454381
999,345,4,10,SemCrit,Political corruption and economic hardship fueled a growing anti-government sediment.,NA,NA,4,0.6422507999232039
999,346,4,101,Filler,He slipped but luckily grabbed onto the handrail by reflex.,NA,NA,4,0.4048622000264004
999,347,4,145,Control,Yuan emperors were Mongolian because Kublai Khan founded this dynasty.,NA,NA,4,0.6181699000298977
999,348,4,203,Filler,A society ruled or dominated by women is a matriarchy.,NA,NA,4,0.48254280001856387
999,349,4,235,Filler,The practice of yoga can make your body more flexible.,NA,NA,4,4.5883600999368355
999,350,4,21,Filler,The flower vase shattered when it fell off the shelf.,NA,NA,4,71.05829590000212
999,351,4,120,Sem,Capture or kill the wanted criminal to collect an expedition.,NA,NA,4,0.618961300002411
999,352,4,27,GoodExp,The tourist sent each of her friends a nice postcard.,NA,NA,4,0.5227426999481395
999,353,4,150,Control,Two common semi-aquatic rodents are a beaver and a muskrat.,NA,NA,4,2.900433799950406
999,354,4,226,Filler,Gin and vermouth are the main ingredients in a martini.,NA,NA,4,0.44966409995686263
999,355,4,18,SemCrit,The monk sat quietly and fell into a deep medication.,NA,NA,4,0.4207087999675423
999,356,4,102,Sem,Never stay out past midnight, was his mother's strict gazelle.,NA,NA,4,0.9395987000316381
999,357,4,227,Filler,A masked gunman opened fire and killed three innocent bystanders.,NA,NA,escape,46.40630100003909
